#TYPE Selected.System.ServiceProcess.ServiceController,,,,
MachineName,Name,DisplayName,Priority,IIS
SCRSRVSMC402.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
SCRSRVSMC401.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
SCRSRVSMA401.choctawcasinos.local,ATI.SpeedMedia.MidTier.Service,ATI.SpeedMedia.MidTier.Service,0,0
SCRSRVBLB401.choctawcasinos.local,ATI.CountInterface.Service,ATI.CountInterface.Service,0,0
SCRSRVBLB401.choctawcasinos.local,ATI.BlackBart.Service,ATI.BlackBart.Service,0,0
SCRSRVJPF401.choctawcasinos.local,ATI.Headcount.Service,ATI.Headcount.Service,0,0
SCRSRVJPF401.choctawcasinos.local,ATI.JackpotFill.Service,ATI.JackpotFill.Service,0,0
SCRSRVQKT401.choctawcasinos.local,ATI.Quickets.Service,ATI.Quickets.Service,0,0
SCRSRVGTW401.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
SCRSRVGTW405.choctawcasinos.local,ATI.NonCashGateway.Service,ATI.NonCashGateway.Service,0,0
SCRSRVPSC402.choctawcasinos.local,SchedulerService,ATI.Scheduler.Service,0,0
SCRSRVMMT401.choctawcasinos.local,ATI.Watchdog.Service,ATI.Watchdog.Service,1,0
SCRSRVPOL401.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
SCRSRVPOL402.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
SCRSRVMMT401.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
SCRSRVMMT402.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
SCRSRVMMT401.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
SCRSRVMMT402.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
SCRSRVPSC401.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
SCRSRVPSC402.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
SCRSRVPSC401.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
SCRSRVPSC402.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
SCRSRVPSC401.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
SCRSRVPSC402.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
SCRSRVNCN401.choctawcasinos.local,N/a,N/a,8,1
SCRSRVNCN402.choctawcasinos.local,N/a,N/a,8,1
SCRSRVNCN403.choctawcasinos.local,N/a,N/a,8,1
SCRSRVRMQ402.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
SCRSRVRMQ401.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
SCRSRVPSC401.choctawcasinos.local,ConfigurationService,ATI.Configuration.Service,10,0
SCRSRVPSC401.choctawcasinos.local,ATI.OASIS.Security.Service,ATI.OASIS.Security.Service,11,0
SCRSRVPSC402.choctawcasinos.local,ATI.OASIS.Security.Service,ATI.OASIS.Security.Service,11,0
