#TYPE Selected.System.ServiceProcess.ServiceController,,,,
MachineName,Name,DisplayName,Priority,IIS
GCRPLBPRM302.choctawcasinos.local,SchedulerService,ATI.Scheduler.Service,0,0
GCRPLBPRM304.choctawcasinos.local,ATI.BlackBart.Service,ATI.BlackBart.Service,0,0
GCRPLBPRM304.choctawcasinos.local,ATI.CountInterface.Service,ATI.CountInterface.Service,0,0
GCRPLBPRM303.choctawcasinos.local,ATI.CashGateway.Service,ATI.CashGateway.Service,0,0
GCRPLBPRM304.choctawcasinos.local,ATI.Oasis.PitPrinter.Service,ATI.Oasis.PitPrinter.Service,0,0
GCRPLBPRM304.choctawcasinos.local,ATI.NonCashGateway.Service,ATI.NonCashGateway.Service,0,0
GCRPLBPRM304.choctawcasinos.local,ATI.Headcount.Service,ATI.Headcount.Service,0,0
GCRPLBPRM304.choctawcasinos.local,ATI.JackpotFill.Service,ATI.JackpotFill.Service,0,0
GCRPLBPRM303.choctawcasinos.local,ATI.Quickets.Service,ATI.Quickets.Service,0,0
GCRPLBPRM303.choctawcasinos.local,ATI.SpeedMedia.MidTier.Service,ATI.SpeedMedia.MidTier.Service,0,0
GCRPLBPRM303.choctawcasinos.local,ATI.SpeedMedia.Cache.Service,ATI.SpeedMedia.Cache.Service,0,0
GCRPLBMMT301.choctawcasinos.local,ATI.Watchdog.Service,ATI.Watchdog.Service,1,0
GCRPLBPRM301.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
GCRPLBPRM302.choctawcasinos.local,ATI.FloorLogix.Poller.Client.Service,ATI.FloorLogix.Poller.Client.Service,2,0
GCRPLBMMT301.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
GCRPLBMMT302.choctawcasinos.local,ATI.FloorLogix.Poller.MidTier.Service,ATI.FloorLogix.Poller.MidTier.Service,3,0
GCRPLBMMT301.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
GCRPLBMMT302.choctawcasinos.local,ATI.Meter.Service,ATI.Meter.Service,4,0
GCRPLBPRM301.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
GCRPLBPRM302.choctawcasinos.local,ATI.Settings.Service,ATI.Settings.Service,5,0
GCRPLBPRM301.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
GCRPLBPRM302.choctawcasinos.local,ATI.PatronBalance.Service,ATI.PatronBalance.Service,6,0
GCRPLBPRM301.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
GCRPLBPRM302.choctawcasinos.local,ATI.Patron.Service,ATI.Patron.Service,7,0
GCRPLBNCN301.choctawcasinos.local,N/a,N/a,8,1
GCRPLBNCN302.choctawcasinos.local,N/a,N/a,8,1
GCRPLBRMQ301.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
GCRPLBRMQ302.choctawcasinos.local,RabbitMQ,RabbitMQ,9,0
GCRPLBPRM301.choctawcasinos.local,ConfigurationService,ATI.Configuration.Service,10,0
GCRPLBPRM301.choctawcasinos.local,ATI.OASIS.Security.Service,ATI.OASIS.Security.Service,11,0
GCRPLBPRM302.choctawcasinos.local,ATI.OASIS.Security.Service,ATI.OASIS.Security.Service,11,0
